Code,Description,pheno_20,pheno_21,pheno_24,pheno_25,pheno_27,pheno_28,pheno_29,pheno_30,pheno_31,pheno_34,pheno_36,pheno_15,pheno_17,pheno_05,pheno_09,pheno_11,pheno_12,pheno_01,pheno_02,pheno_13,pheno_16,pheno_33,pheno_37,Person.count.in.SDE,In.Refset
151157005,Cardiac failure therapy (procedure),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
153931000119109,Acute combined systolic and diastolic heart failure (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
153941000119100,Chronic combined systolic and diastolic heart failure (disorder),1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,No
153951000119103,Acute on chronic combined systolic and diastolic heart failure (disorder),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15629541000119106,Congestive heart failure stage C due to Ischemic cardiomyopathy (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15629591000119104,Congestive heart failure stage B due to ischemic cardiomyopathy (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15629641000119108,Systolic heart failure stage B due to ischemic cardiomyopathy (disorder),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15629741000119102,Systolic heart failure stage C due to ischemic cardiomyopathy (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15964661000119102,Acute cor pulmonale due to septic pulmonary embolism (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
15964701000119108,Acute cor pulmonale co-occurrent and due to saddle embolus of pulmonary artery (disorder),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
161505003,History of heart failure (situation),1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
16253001,Dilated peripartum cardiomyopathy (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
16838951000119100,Acute on chronic right-sided congestive heart failure (disorder),1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,145,No
175112006,Transluminal heart assist operations (procedure),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
175115008,Transluminal maintenance of heart assist system (procedure),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
175117000,Transluminal removal of heart assist system (procedure),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
182826002,Cardiac failure therapy (procedure),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
188151000000107,Admit heart failure emergency,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
188171000000103,Referral to heart failure nurse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
188661000000101,Seen in heart failure clinic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
191651000000108,Admit heart failure emergency,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
191671000000104,Referral to heart failure nurse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
192161000000108,Seen in heart failure clinic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
19242006,Pulmonary edema (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73065,No
194767001,Benign hypertensive heart disease with congestive cardiac failure (disorder),1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,430,No
194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder),1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,75,No
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder),1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,35,No
194849004,Generalized ischemic myocardial dysfunction (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15680,No
194884000,Acute pulmonary heart disease NOS (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
194887007,Other chronic pulmonary heart disease (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
194889005,Other chronic pulmonary heart disease NOS (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
195020003,Hypertrophic cardiomyopathy without obstruction (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
195021004,Primary dilated cardiomyopathy (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
195031006,Cardiomyopathy in myotonic dystrophy (disorder),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
195108009,Heart failure: [right] or [congestive] (disorder),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No
195111005,Decompensated cardiac failure (disorder),1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,44945,No
195112003,Compensated cardiac failure (disorder),1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2160,No
195114002,Acute left ventricular failure (disorder),1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,4165,No
195548008,[X]Pulmonary heart disease and diseases of pulmonary circulation (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
196151000,Pulmonary insufficiency following shock (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
196152007,Pulmonary insufficiency following surgery (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
196153002,Pulmonary insufficiency following trauma (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
198868006,Cardiac failure following abortive pregnancy (disorder),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
